study,treat1,treat2,TE,seTE
DeFronzo1995,Metformin,Placebo,-1.9,0.1414
Lewin2007,Metformin,Placebo,-0.82,0.0992
Willms1999,Metformin,Acarbose,-0.2,0.3579
Davidson2007,Rosiglitazone,Placebo,-1.34,0.1435
Wolffenbuttel1999,Rosiglitazone,Placebo,-1.1,0.1141
Kipnes2001,Pioglitazone,Placebo,-1.3,0.1268
Kerenyi2004,Rosiglitazone,Placebo,-0.77,0.1078
Hanefeld2004,Pioglitazone,Metformin,0.16,0.0849
Derosa2004,Pioglitazone,Rosiglitazone,0.1,0.1831
Baksi2004,Rosiglitazone,Placebo,-1.3,0.1014
Rosenstock2008,Rosiglitazone,Placebo,-1.09,0.2263
Zhu2003,Rosiglitazone,Placebo,-1.5,0.1624
Yang2003,Rosiglitazone,Metformin,-0.14,0.2239
Vongthavaravat2002,Rosiglitazone,Sulfonylurea,-1.2,0.1436
Oyama2008,Acarbose,Sulfonylurea,-0.4,0.1549
Costa1997,Acarbose,Placebo,-0.8,0.1432
Hermansen2007,Sitagliptin,Placebo,-0.57,0.1291
Garber2008,Vildagliptin,Placebo,-0.7,0.1273
Alex1998,Metformin,Sulfonylurea,-0.37,0.1184
Johnston1994,Miglitol,Placebo,-0.74,0.1839
Johnston1998a,Miglitol,Placebo,-1.41,0.2235
Kim2007,Rosiglitazone,Metformin,0,0.2339
Johnston1998b,Miglitol,Placebo,-0.68,0.2828
Gonzalez-Ortiz2004,Metformin,Placebo,-0.4,0.4356
Stucci1996,Benfluorex,Placebo,-0.23,0.3467
Moulin2006,Benfluorex,Placebo,-1.01,0.1366
Willms1999b,Metformin,Placebo,-1.2,0.3758
Willms1999c,Acarbose,Placebo,-1,0.4669
